datetime,inflow_temp,airtemp1day,airtemp2days,airtemp3days,airtemp4days,airtemp5days,airtemp6days,airtemp7days
2016-02-01,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-02,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-03,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-04,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-05,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-06,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-07,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-08,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-09,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-10,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-11,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-12,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-13,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-14,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-15,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-16,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-17,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-18,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-19,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-20,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-21,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-22,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-23,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-24,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-25,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-26,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-27,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-28,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-29,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-01,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-02,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-03,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-04,NA,1.4443,NA,NA,NA,NA,NA,NA
2016-03-05,NA,4.38998,2.91714,NA,NA,NA,NA,NA
2016-03-06,NA,3.55272291666667,3.97135145833334,3.12900097222222,NA,NA,NA,NA
2016-03-07,NA,6.15276458333333,4.85274375,4.69848916666667,3.884941875,NA,NA,NA
2016-03-08,NA,9.251665625,7.70221510416667,6.31905104166667,5.83678328125,4.958286625,NA,NA
2016-03-09,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-10,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-11,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-12,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-13,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-14,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-15,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-16,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-17,NA,15.6419857142857,NA,NA,NA,NA,NA,NA
2016-03-18,NA,8.50369523809524,12.0728404761905,NA,NA,NA,NA,NA
2016-03-19,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-20,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-21,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-22,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-23,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-24,NA,14.5378893617021,NA,NA,NA,NA,NA,NA
2016-03-25,NA,17.7849416666667,16.1614155141844,NA,NA,NA,NA,NA
2016-03-26,NA,7.71211666666667,12.7485291666667,13.3449825650118,NA,NA,NA,NA
2016-03-27,NA,10.2772354166667,8.99467604166669,11.9247645833334,12.5780457779255,NA,NA,NA
2016-03-28,NA,12.1641895833333,11.2207125,10.0511805555556,11.9846208333333,12.4952745390071,NA,NA
2016-03-29,NA,10.3575604166667,11.260875,10.9329951388889,10.1277755208333,11.65920875,12.1389888519504,NA
2016-03-30,NA,7.59401458333333,8.97578750000002,10.0385881944444,10.09825,9.62102333333334,10.9816763888889,11.4897068135765
2016-03-31,NA,15.4295333333333,11.5117739583333,11.1270361111111,11.3863244791667,11.1645066666667,10.5891083333333,11.6170845238095
2016-04-01,NA,20.49204375,17.9607885416667,14.5051972222222,13.4682880208333,13.2074683333333,12.7190961805556,12.0038133928571
2016-04-02,NA,13.65450625,17.073275,16.5253611111111,14.2925244791667,13.5055316666667,13.2819746527778,12.8527261904762
2016-04-03,NA,5.68258541666667,9.66854583333333,13.2763784722222,13.8146671875,12.5705366666667,12.2017072916667,12.1963476190476
